"param","E_CH","E_BJ","E_BR","E_R","E_Co"
"FCH",0.178870325068296,0.00940395773648934,0.00390472868293562,-0.00373729087274766,-1.18584331331151e-06
"phiYCH",0.0765802819080598,0.00106586900136247,0.000404959367389255,-0.00292550455153344,5.51466210499822e-07
"phiJCH",0.115979021224965,0.00528037436080678,0.00216172922068378,-0.00483564090001637,-1.28445489277017e-06
"phiACH",0,0,0,0,0
"rR",-8.81352140612387e-06,-0.00181985947585326,-0.000829692447676028,0.0036151000739849,1.41956552749582e-06
"rCo",9.22367589077566e-08,-6.03740541072869e-06,-1.30848915198765e-06,-1.85234559511766e-09,0.0217963171658674
"roR",0,0,0,0,0
"roCo",0,0,0,0,0
"prCHR",5.20173385388484e-06,0.00089194073128689,0.000392452006703306,-0.00349289186057084,5.52162827731194e-07
"prCoR",0,0,0,0,0
"prCoPBJ",-1.58288793214559e-07,-9.92647385982005e-06,-2.0292655569741e-07,2.78271071988295e-08,-1.2941419569719e-06
"prRPBJ",-3.4795878542702e-06,-0.0146531148292881,-0.000299147020706231,-5.1272657978062e-07,8.21446150396831e-07
"prCHPBJ",1.06305756401971e-07,3.49721578847565e-08,1.06023132131009e-07,-6.94732038384506e-09,7.94905114633166e-07
"prCoPBR",2.8406365068293e-09,-8.00951729582415e-07,-2.65072696395138e-06,6.85490798451994e-09,3.59024892817175e-07
"prRPBR",-9.46161315255371e-06,-0.0022582060344392,-0.00757427824564568,-4.52986637773494e-07,-1.31329028368295e-06
"prCHPBR",0,0,0,0,0
