val;lambda_CH;lambda_BJ;lambda_BR;lambda_R;lambda_Co;elas_lambda_CH;elas_lambda_BJ;elas_lambda_BR;elas_lambda_R;elas_lambda_Co
0,1;0,789033922;0,914217465;0,882652957;1,08163031;1,319867321;NA;NA;NA;NA;NA
0,2;0,814470759;0,914524589;0,882774611;1,081504807;1,31986729;0,066845886;0,00078826;0,000322901;-0,000300699;-9,68E-09
0,3;0,843477942;0,914938349;0,882938006;1,081305102;1,319867308;0,110541073;0,00162136;0,000662373;-0,000735169;-1,28E-10
0,4;0,876630064;0,915513552;0,8831645;1,080974846;1,31986729;0,162083463;0,003063475;0,001248925;-0,001665056;-5,95E-08
0,5;0,91452156;0,916340675;0,883489509;1,080405161;1,319867269;0,22156646;0,005615752;0,002288621;-0,003701174;-2,51E-08
0,6;0,957680985;0,917571929;0,883973289;1,079375339;1,319867276;0,287756829;0,010216036;0,004177605;-0,008325936;6,12E-08
0,7;1,006381308;0,919465324;0,884720473;1,077409557;1,319867296;0,356572682;0,018584232;0,007683032;-0,019470208;5,19E-08
0,8;1,060209009;0,922454088;0,885915385;1,0733818;1,319867296;0,417286106;0,033809012;0,014331142;-0,049543079;1,18E-08
0,9;1,11698393;0,92726214;0,887894518;1,064114897;1,3198673;0,440193469;0,063696341;0,028461838;-0,160405117;-1,51E-08
1;1,169473238;0,935579245;0,891531187;1,035450805;1,319867291;;NA;NA;NA;NA
;;;;;moyenne elas;0,257855746;0,017174309;0,007397054;-0,030518305;1,93783E-09
;;;;;sd;0,156956072;0,021203522;0,009421951;0,052472346;3,71448E-08
