"roCo","roR","lambda_PBJ","lambda_PBR","lambda_CH"
0,1,0.944248109751471,0.896088798599089,0.838218650637764
0.1,1,0.944315730928241,0.896111128678271,0.838218680486084
0.2,1,0.94437907771759,0.896131762546926,0.838218542015425
0.3,1,0.944434299360231,0.896149515719454,0.838218545934441
0.4,1,0.944477586890134,0.896163321069277,0.838218502571836
0.5,1,0.944507576486128,0.896172904625963,0.838218517744823
0.6,1,0.944526355322613,0.896178968969732,0.83821848812932
0,1.1,0.960390325206038,0.90477628164959,0.838227987749359
0.1,1.1,0.960598227747748,0.904860119603291,0.838228011594939
0.2,1.1,0.960799775282885,0.904940313393505,0.838228034599704
0.3,1.1,0.960980416262504,0.90501119529664,0.838228063155763
0.4,1.1,0.961124582975943,0.905067251916274,0.838228090279581
0.5,1.1,0.961225108739638,0.905106346174639,0.838228109139481
0.6,1.1,0.961287592452213,0.905130886498504,0.838228120223249
0,1.2,0.991326321727192,0.925333410307819,0.83823486680597
0.1,1.2,0.99210365378518,0.925758174613054,0.838234897015068
0.2,1.2,0.992926280381797,0.926203978472136,0.838234936815945
0.3,1.2,0.993726118606562,0.926633243084965,0.838234976354517
0.4,1.2,0.994404834472047,0.926995011417626,0.838235014775791
0.5,1.2,0.994892596627487,0.927254850799312,0.838235039263115
0.6,1.2,0.995194161633526,0.927416507610686,0.838235051838548
0,1.3,1.02326547563442,0.95741192559734,0.83823778680069
0.1,1.3,1.02485141154527,0.95857264869831,0.838237817885868
0.2,1.3,1.0267318503136,0.959953333206135,0.838237856981556
0.3,1.3,1.02880865822418,0.961478404444443,0.838237876083042
0.4,1.3,1.03080297342153,0.96294152321809,0.838237892455529
0.5,1.3,1.03237884918922,0.964097894644843,0.838237904781073
0.6,1.3,1.03340221242549,0.964850339486829,0.838237912803882
0,1.4,1.03317891989288,0.97416966467678,0.838238998714554
0.1,1.4,1.03470257277796,0.975413787085216,0.838239028964922
0.2,1.4,1.03675384825943,0.97710594396604,0.838239037437589
0.3,1.4,1.03950130088948,0.979380352760459,0.838239044479369
0.4,1.4,1.0429115927348,0.982198084408036,0.83823905873636
0.5,1.4,1.04642840200402,0.98509562253788,0.838239063652383
0.6,1.4,1.04921503453219,0.987391651351679,0.838239064137434
0,1.5,1.0358807314725,0.97877246134928,0.838239382957374
0.1,1.5,1.03727934272166,0.979959677598495,0.83823938579373
0.2,1.5,1.03922896427147,0.981629967258856,0.838239386770092
0.3,1.5,1.04198165278411,0.98399329085951,0.838239387488444
0.4,1.5,1.04566529676801,0.987145167340023,0.838239388104558
0.5,1.5,1.0498279190971,0.990694250754369,0.83823938886638
0.6,1.5,1.05342202120769,0.993762853012858,0.838239388517986
